== RENDER LOGGER ==
Study the following SDL_RenderCopyEx() calls to debug render-related issues.
Enable render logger mode on your computer by setting the RENDERLOGGER environmental variable.
frame:actor_id:actor_name

18:-1: dstrect 302.474 160.303 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 303.481 167.966 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.395 162.267 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.995 163.807 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 302.931 160.146 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 305.768 160.412 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 304.702 167.938 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.17 162.847 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.199 166.401 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.4 166.108 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 303.704 167.989 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 306.172 160.641 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 303.417 167.957 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 305.03 160.135 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 306.771 161.115 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.273 162.548 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.137 165.036 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 306.389 160.792 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.81 165.219 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 304.134 167.998 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 306.99 161.343 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.273 165.453 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.108 164.925 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 301.559 167.169 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 302.611 167.751 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.831 165.151 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.326 162.419 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 300.894 161.48 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 301.396 160.964 32 32 angle 0 flip 0 renderscale 1 1
18:-1: dstrect 307.388 161.874 32 32 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 301.214 156.872 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 303.229 172.199 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 297.057 160.8 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 312.257 163.881 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 302.128 156.558 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 307.802 157.09 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 305.671 172.142 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.606 161.96 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 310.665 169.07 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 311.066 168.482 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 303.675 172.245 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 308.611 157.549 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 303.101 172.181 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 306.327 156.536 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 309.809 158.497 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.812 161.363 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.54 166.339 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 309.044 157.85 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 311.886 166.705 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 304.534 172.262 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 310.247 158.953 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.813 167.173 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.483 166.116 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 299.385 170.604 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 301.488 171.769 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 311.928 166.569 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 296.918 161.105 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 298.054 159.227 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 299.058 158.194 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
19:-1: dstrect 311.043 160.015 31.4667 31.4667 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 299.955 153.441 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 302.977 176.432 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 293.718 159.334 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 316.519 163.955 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 301.325 152.97 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 309.836 153.769 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
